doc_id,clean_text,Sentiment
1,It was amazing the fights the ten rings everything just wow,positive
2,This one is a very solid entry into the Marvel Cinematic Universe. Great Action and story that catches up with characters like Wong and Abomination. The movie definitely feels different than other Marvel films and origin stories as it gives the villain some motivation that is understandable.,positive
3,imagine a movie with well timed jokes and action pacing sequences crossed with the magical world of Asian mythology and Kung Fu and you got Shang-Chi. 10/10.,positive
4,"Overall, the film is definitely one to watch, and is a great setup film for future MCU projects.",positive
5,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.

Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.

I plan on seeing this again, just to understand a few bits a little more.

Go and watch it, you'll love it, 9/10.",negative
6,,positive
7,"I find this film very engaging from start to finish. I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",negative
8,"Having just enjoyed a series of Wong Kar-wei films, it was great to see the star of many of his classic features - Tony Leung - feature in this superior fantasy adventure. He is the man with the magical and all-powerful ten rings and two estranged children. It is only when his son ""Shaun"" (Simu Liu) has a lively altercation with some heavies on a San Francisco bus that he realises there is impending danger, seeks out his independently minded sister and before you know it, the family are - somewhat unwillingly - reunited and working together to rescue their late, lamented mother from the clutches of an evil being protected by a benign society led by Michelle Yeoh. To be honest, the story isn't the best - it's actually a little bit simple and predictable. That said, however, the characterisations are engaging and the action scenes are well staged and paced. There is an interesting underlying premiss that has to resonate now as the planet appears to be fighting back against mankind's accumulated indifference - the Elysian utopia that ""Xu Wenwu"" (Leung) must invade to rescue his wife being symbolic of the unspoilt elements of the planet that have no intention of rolling over peaceably whilst we impose ourselves on it. The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages. There is also quite a fun series of scenes from Sir Ben Kingsley as a Liverpudlian poet (maybe his accent isn't the best!) before a stylishly crafted finale. All told, this is a thoroughly entertaining watch that at over two hours flies by.",positive
9,"It's been ten years since Shang-Chi(Liu, charming, stoic) last saw his father, and leader of the criminal empire The Ten Rings, Wenwu(Leung, charismatic enough that we feel a lot of empathy for him, even when he does terrible things that we desperately want him to stop doing). That was also when he last spent time with his sister, Xialing(Zhang, a badass who deserves more screen time. Honestly, I'd be very surprised if she didn't, in future projects). He's joined by his friend Katy(Awkwafina, quirky, providing a lot of comic relief, something I'm told she's in general adept at), for what can best be described as a tense reunion, which allows the movie to really mine the family melodrama, one of the best elements it has. I won't give away exactly what the antagonist intends to do, only that our hero has to stop him. However, he has to figure out how, maybe even if, that is even possible.

Not quite, yet almost ""Black Panther for Asian audiences"", this does a lot for representation(including for women. Some of the best characters in this are female. In addition to the two that I've already mentioned, there is also Ying Nan(Yeoh, wise)), it is positively drenched in Chinese culture(the third act, while in ways it feels like it belongs to a completely different film than the first two, takes an especially deep dive into that. Ultimately, it is presented through a Western lens, and clearly we need to go further in this direction, still, it is a big deal that they put so much of it in an estimated $150 to 200 million major blockbuster, which will be seen by millions of people who would never consider watching an art picture, especially one focusing on a group they don't belong to), to the point where countless times, when it makes sense, major characters in this speak Mandarin to each other, rather than English, which it is subtitled into. And ""don't worry"", for those who think that the following is important: there are white people on screen, and they aren't made out to be ""less than"".

The action(each sequence of which feels distinct, belongs with the rest, and is memorable) pays tribute to many different kinds of martial arts films, acknowledging that they are standing on the shoulders of giants. Jackie Chan, wuxia, etc. The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is. That *is* why you hire Bill Pope, the director of photography on the Matrix trilogy, two of Sam Raimi's Spider-Man entries, Darkman and Team America. The special effects are excellent. There are some issues with pacing, and certainly a chunk of this is composed almost entirely of flashbacks.

This features relatively brief but highly concentrated, surprisingly graphic gore(you know, there was a time when the fact that it's happening to beings that clearly are not human, wasn't enough to get away with this kind of thing with a PG-13 rating. Pepperidge Farm remembers), as well as a little strong language. I recommend this to any fan of comic book movie adaptations, and people passionate about diversity hiring. 8/10.",negative
10,,positive
11,,positive
12,"""The US government was almost toppled by a pretender named after an orange."" Wenwu (Tony Leung)

This quote is typical of the light-hearted but also serious addition to the MCU that is Shang-Chi and the Legend of the Ten Rings. Although Marvel has always been less serious than DC, this time it leaves Superman and Batman to cry in their capes. Sweet superhero Sean/Shang-Chi (Simu Liu) has more humanity than almost any other hero, and he uses his martial arts only when pressed.

The opening sequence on a bus (you can see the bad coming from other cinematic bus rides such as in Nobody) is rousing and entertaining. It has a fight sequence I laughed through because of its ballet-like composition but satisfying because it sets up character and motivation.

When things get heavy, and they do because Sean must confront and potentially kill his 1000-year-old mobster dad, Wenwu, Awkwafina's Katy, Sean's girlfriend, is there with amusing one-liners throughout the adventure, right down to a life-saving shot in the big ending battle scene.

Director Destin Daniel Cretton deftly orchestrates his fights and his characters' lines with the authority of a much more seasoned filmmaker. He never loses sight of the central motif-the affirmation of family primacy, so that the potential chaos of a giant cast and multiple plot strands hosts a unity glued by character and dialogue.

Shang-Chi is a Marvel for the whole family and especially the cinephiles curious how The Marvel Cinematic Universe can be so diverse, so entertaining, and so perfect a purveyor of our heroic fantasies.",negative
13,,positive
